ymp,洋買土賣,洋賣土買,對作合計
2015-04-01,0.06939040207522698,0.01621271076523995,0.08560311284046693
2015-05-01,0.036893203883495145,0.02524271844660194,0.062135922330097085
2015-06-01,0.03227888960619755,0.02130406714009038,0.05358295674628793
2015-07-01,0.016066838046272493,0.04434447300771208,0.060411311053984576
2015-08-01,0.1276459268762027,0.03207184092366902,0.1597177677998717
2015-09-01,0.013444302176696543,0.017285531370038413,0.030729833546734954
2015-10-01,0.037675606641123884,0.02234993614303959,0.06002554278416347
2015-11-01,0.02804333970681963,0.02995538559592097,0.0579987253027406
2015-12-01,0.034329307056579786,0.020343293070565798,0.05467260012714559
2016-01-01,0.015228426395939087,0.01967005076142132,0.03489847715736041
2016-02-01,0.039315155358275206,0.015218769816106531,0.054533925174381735
2016-03-01,0.02395964691046658,0.017654476670870115,0.0416141235813367
2016-04-01,0.032095657646318436,0.02328508495909377,0.0553807426054122
2016-05-01,0.03587161736941473,0.030837004405286344,0.06670862177470108
2016-06-01,0.02578616352201258,0.021383647798742137,0.04716981132075472
2016-07-01,0.07706766917293233,0.03634085213032581,0.11340852130325814
2016-08-01,0.029393370856785492,0.0375234521575985,0.066916823014384
2016-09-01,0.037429819089207735,0.05739238927011853,0.09482220835932625
